"Name","Team","Number","Age","Salary"
"Avery Bradley","Boston Celtics","0","25","7730337"
"Jae Crowder","Boston Celtics","99","25","6796117"
"John Holland","Boston Celtics","30","27","6796117"
"R.J. Hunter","Boston Celtics","28","22","1148640"
"Bojan Bogdanovic","Brooklyn Nets","44","27","3425510"
"Markel Brown","Brooklyn Nets","22","24","845059"
"Wayne Ellington","Brooklyn Nets","21","28","1500000"
"Rondae Hollis-Jefferson","Brooklyn Nets","24","21","1335480"
"Arron Afflalo","New York Knicks","4","30","8000000"
"Lou Amundson","New York Knicks","17","33","1635476"
"Thanasis Antetokounmpo","New York Knicks","43","23","30888"
"Carmelo Anthony","New York Knicks","7","32","22875000"
"Elton Brand","Philadelphia 76ers","42","37","4626960"
"Isaiah Canaan","Philadelphia 76ers","0","25","947276"
"Robert Covington","Philadelphia 76ers","33","25","1000000"
"Joel Embiid","Philadelphia 76ers","21","22","4626960"
"Bismack Biyombo","Toronto Raptors","8","23","2814000"
"Bruno Caboclo","Toronto Raptors","20","20","1524000"
"DeMarre Carroll","Toronto Raptors","5","29","13600000"
"DeMar DeRozan","Toronto Raptors","10","26","10050000"
"Leandro Barbosa","Golden State Warriors","19","33","2500000"
"Harrison Barnes","Golden State Warriors","40","24","3873398"
"Andrew Bogut","Golden State Warriors","12","31","13800000"
"Ian Clark","Golden State Warriors","21","25","947276"
"Cole Aldrich","Los Angeles Clippers","45","27","1100602"
"Jeff Ayres","Los Angeles Clippers","19","29","111444"
"Jamal Crawford","Los Angeles Clippers","11","36","5675000"
"Branden Dawson","Los Angeles Clippers","22","23","525093"
"Eric Bledsoe","Phoenix Suns","2","26","13500000"
"Devin Booker","Phoenix Suns","1","19","2127840"
"Chase Budinger","Phoenix Suns","10","28","206192"
"Tyson Chandler","Phoenix Suns","4","33","13000000"
"Quincy Acy","Sacramento Kings","13","25","981348"
"James Anderson","Sacramento Kings","5","27","1015421"
"Marco Belinelli","Sacramento Kings","3","30","6060606"
"Caron Butler","Sacramento Kings","31","36","1449187"
"Cameron Bairstow","Chicago Bulls","41","25","845059"
"Aaron Brooks","Chicago Bulls","0","31","2250000"
"Jimmy Butler","Chicago Bulls","21","26","16407500"
"Mike Dunleavy","Chicago Bulls","34","35","4500000"
"Matthew Dellavedova","Cleveland Cavaliers","8","25","1147276"
"Channing Frye","Cleveland Cavaliers","9","33","8193029"
"Kyrie Irving","Cleveland Cavaliers","2","24","16407501"
"LeBron James","Cleveland Cavaliers","23","31","22970500"
"Joel Anthony","Detroit Pistons","50","33","2500000"
"Aron Baynes","Detroit Pistons","12","29","6500000"
"Steve Blake","Detroit Pistons","22","36","2170465"
"Lorenzo Brown","Detroit Pistons","17","25","111444"
